,Team,Squad Value
113,Moldova,€9.70m
114,Jamaica,€9.05m
115,Tanzania,€9.03m
116,Uganda,€8.75m
117,Chad,€8.55m
118,Oman,€8.33m
119,Latvia,€8.23m
120,Central African Republic,€8.20m
121,Syria,€7.93m
122,Guatemala,€7.78m
123,Tajikistan,€7.78m
124,Malaysia,€7.60m
125,Bangladesh,€7.25m
126,El Salvador,€7.13m
127,Kyrgyzstan,€7.05m
128,Rwanda,€7.00m
129,North Korea,€6.85m
130,Madagascar,€6.83m
131,Thailand,€6.55m
132,Vietnam,€6.38m
133,Bahrain,€6.15m
134,Lebanon,€5.55m
135,New Caledonia,€5.20m
136,Faroe Islands,€5.10m
137,Singapore,€4.38m
138,Eritrea,€4.35m
139,Kuwait,€4.23m
140,Equatorial Guinea,€4.20m
141,India,€4.00m
142,Comoros,€3.80m
143,Nicaragua,€3.78m
144,Andorra,€3.71m
145,Martinique,€3.68m
146,Pakistan,€3.54m
147,Hong Kong,€3.45m
148,Kenya,€3.30m
149,Sudan,€3.28m
150,Philippines,€3.23m
151,Botswana,€3.10m
152,Myanmar,€3.00m
153,Turkmenistan,€2.95m
154,Ethiopia,€2.90m
155,Republic of the Congo,€2.63m
156,Cuba,€2.60m
157,Cambodia,€2.58m
158,Fiji,€2.45m
159,Yemen,€2.20m
160,Trinidad and Tobago,€2.15m
161,Namibia,€2.08m
162,Malawi,€1.95m
163,Chinese Taipei,€1.92m
164,Gibraltar,€1.84m
165,Grenada,€1.75m
166,South Sudan,€1.60m
167,Guyana,€1.50m
168,Mozambique,€1.48m
169,São Tomé and Príncipe,€1.43m
170,Nepal,€1.35m
172,San Marino,€1.15m
173,Afghanistan,€1.08m
174,Eswatini,€1.08m
175,Seychelles,€1.03m
176,Sri Lanka,€910k
177,Bhutan,€840k
178,Puerto Rico,€825k
179,Brunei Darussalam,€800k
180,Mauritius,€800k
181,Timor-Leste,€785k
182,Somalia,€760k
183,Maldives,€675k
184,Antigua and Barbuda,€650k
185,Liechtenstein,€625k
186,Lesotho,€575k
187,Djibouti,€575k
188,Saint Kitts and Nevis,€575k
189,Vanuatu,€535k
190,Mongolia,€485k
191,Saint Vincent and the Grenadines,€475k
192,Solomon Islands,€450k
193,Sint Maarten,€425k
194,Bonaire,€400k
195,Bermuda,€375k
196,Montserrat,€375k
197,Belize,€350k
198,Macau,€335k
199,Saint Lucia,€250k
200,Guam,€240k
201,Samoa,€225k
202,Barbados,€200k
203,Aruba,€175k
204,United States Virgin Islands,€125k
205,French Guiana,€125k
206,Cook Islands,€110k
207,Tahiti,€60k
208,Turks and Caicos Islands,€50k
209,Tonga,€10k
210,Papua New Guinea,-
211,Bahamas,-
212,Dominica,-
213,East Germany,-
214,Czechoslovakia (-1993),-
215,Soviet Union (-1991),-
216,Yugoslavia,-
217,American Samoa,-
218,Anguilla,-
219,British Virgin Islands,-
220,Cayman Islands,-
221,Netherlands Antilles,-
222,Greenland,-
223,Kiribati,-
224,Micronesia,-
225,Monaco,-
226,Réunion,-
227,Zanzibar,-
228,Tuvalu,-
229,Christmas Island,-
230,Serbia and Montenegro,-
231,Nauru,-
232,Palau,-
233,Zaire,-
234,Dutch East Indies,-
235,Marshall Islands,-
236,Northern Mariana Islands,-
237,Niue,-
238,Saar,-
239,Saint-Martin,-
240,Great Britain,-
241,South Vietnam (-1976),-
242,Rhodesia,-
243,South Yemen,-
244,British India,-
245,Northern Rhodesia,-
246,North Vietnam (-1976),-
248,Rwanda U23,-
